subject ID,age (months),gender,list,trial_number,trial_object,trial_modifier,intonation,modifier_type,probe_type,response
AP_15,74,F,B,25,story,funny,sarcastic,grad+subj+pos,approve,1
AP_15,74,F,B,26,story,funny,sarcastic,grad+subj+pos,mean,1
AP_15,74,F,B,27,story,funny,sarcastic,grad+subj+pos,nice,5
AP_15,74,F,B,28,tool,useless,declarative,grad+subj+neg,approve,0
AP_15,74,F,B,29,tool,useless,declarative,grad+subj+neg,mean,1
AP_15,74,F,B,30,tool,useless,declarative,grad+subj+neg,nice,1
AP_15,74,F,B,31,hole,careless,sarcastic,grad+subj+neg,approve,0
AP_15,74,F,B,32,hole,careless,sarcastic,grad+subj+neg,mean,1
AP_15,74,F,B,33,hole,careless,sarcastic,grad+subj+neg,nice,1
AP_15,74,F,B,34,solution,partial,declarative,–grad–subj,approve,N/A
AP_15,74,F,B,35,solution,partial,declarative,–grad–subj,mean,1
AP_15,74,F,B,36,solution,partial,declarative,–grad–subj,nice,1
AP_15,74,F,B,37,novel,fiction,sarcastic,–grad–subj,approve,N/A
AP_15,74,F,B,38,novel,fiction,sarcastic,–grad–subj,mean,1
AP_15,74,F,B,39,novel,fiction,sarcastic,–grad–subj,nice,3
AP_15,74,F,B,40,video,witty,declarative,grad+subj+pos,approve,1
AP_15,74,F,B,41,video,witty,declarative,grad+subj+pos,mean,1
AP_15,74,F,B,42,video,witty,declarative,grad+subj+pos,nice,5
AP_04,70,M,C,1,book,n/a,declarative,training1 neg,approve,0
AP_04,70,M,C,2,book,n/a,declarative,training1 neg,mean,0
AP_04,70,M,C,3,book,n/a,declarative,training1 neg,nice,1
AP_04,70,M,C,4,recital,n/a,declarative,training2 pos,approve,1
AP_04,70,M,C,5,recital,n/a,declarative,training2 pos,mean,0
AP_04,70,M,C,6,recital,n/a,declarative,training2 pos,nice,5
AP_04,70,M,C,7,cake,yucky,declarative,grad+subj+neg,approve,0
AP_04,70,M,C,8,cake,yucky,declarative,grad+subj+neg,mean,0
AP_04,70,M,C,9,cake,yucky,declarative,grad+subj+neg,nice,1
AP_04,70,M,C,10,gift,awful,sarcastic,grad+subj+neg,approve,0
AP_04,70,M,C,11,gift,awful,sarcastic,grad+subj+neg,mean,0
AP_04,70,M,C,12,gift,awful,sarcastic,grad+subj+neg,nice,1
AP_04,70,M,C,13,bouquet,floral,declarative,–grad–subj,approve,0
AP_04,70,M,C,14,bouquet,floral,declarative,–grad–subj,mean,0
AP_04,70,M,C,15,bouquet,floral,declarative,–grad–subj,nice,3
AP_04,70,M,C,16,question,review,sarcastic,–grad–subj,approve,0
AP_04,70,M,C,17,question,review,sarcastic,–grad–subj,mean,0
AP_04,70,M,C,18,question,review,sarcastic,–grad–subj,nice,1
AP_04,70,M,C,19,dish,tasty,declarative,grad+subj+pos,approve,0
AP_04,70,M,C,20,dish,tasty,declarative,grad+subj+pos,mean,0
AP_04,70,M,C,21,dish,tasty,declarative,grad+subj+pos,nice,5
AP_04,70,M,C,22,shirt,lovely,sarcastic,grad+subj+pos,approve,1
AP_04,70,M,C,23,shirt,lovely,sarcastic,grad+subj+pos,mean,0
AP_04,70,M,C,24,shirt,lovely,sarcastic,grad+subj+pos,nice,5
AP_04,70,M,C,25,story,boring,declarative,grad+subj+neg,approve,0
AP_04,70,M,C,26,story,boring,declarative,grad+subj+neg,mean,0
AP_04,70,M,C,27,story,boring,declarative,grad+subj+neg,nice,1
AP_04,70,M,C,28,tool,useless,sarcastic,grad+subj+neg,approve,0
AP_04,70,M,C,29,tool,useless,sarcastic,grad+subj+neg,mean,0
AP_04,70,M,C,30,tool,useless,sarcastic,grad+subj+neg,nice,1
AP_04,70,M,C,31,hole,half-inch,declarative,–grad–subj,approve,0
AP_04,70,M,C,32,hole,half-inch,declarative,–grad–subj,mean,0
AP_04,70,M,C,33,hole,half-inch,declarative,–grad–subj,nice,1
AP_04,70,M,C,34,solution,partial,sarcastic,–grad–subj,approve,0
