"","response","intonation","modifier_type","subject.ID","trial_object","probe_type","trial_modifier","group"
"188","4","sarcastic","grad+subj+pos","32257","tool","nice","useful","adults"
"189","2","declarative","grad+subj+neg","32257","hole","nice","careless","adults"
"190","2","sarcastic","grad+subj+neg","32257","solution","nice","bossy","adults"
"191","3","declarative","–grad–subj","32257","novel","nice","fiction","adults"
"192","2","sarcastic","–grad–subj","32257","video","nice","tiktok","adults"
"193","5","declarative","grad+subj+pos","29974","cake","nice","yummy","adults"
"194","5","sarcastic","grad+subj+pos","29974","gift","nice","awesome","adults"
"195","2","declarative","grad+subj+neg","29974","bouquet","nice","messy","adults"
"196","2","sarcastic","grad+subj+neg","29974","question","nice","silly","adults"
"197","3","declarative","–grad–subj","29974","dish","nice","lobster","adults"
"198","3","sarcastic","–grad–subj","29974","shirt","nice","spotted","adults"
"199","3","declarative","grad+subj+pos","29974","story","nice","funny","adults"
"200","5","sarcastic","grad+subj+pos","29974","tool","nice","useful","adults"
"201","2","declarative","grad+subj+neg","29974","hole","nice","careless","adults"
"202","2","sarcastic","grad+subj+neg","29974","solution","nice","bossy","adults"
"203","3","declarative","–grad–subj","29974","novel","nice","fiction","adults"
"204","3","sarcastic","–grad–subj","29974","video","nice","tiktok","adults"
"205","5","declarative","grad+subj+pos","29962","cake","nice","yummy","adults"
"206","5","sarcastic","grad+subj+pos","29962","gift","nice","awesome","adults"
"207","1","declarative","grad+subj+neg","29962","bouquet","nice","messy","adults"
"208","2","sarcastic","grad+subj+neg","29962","question","nice","silly","adults"
"209","2","declarative","–grad–subj","29962","dish","nice","lobster","adults"
"210","1","sarcastic","–grad–subj","29962","shirt","nice","spotted","adults"
"211","4","declarative","grad+subj+pos","29962","story","nice","funny","adults"
"212","4","sarcastic","grad+subj+pos","29962","tool","nice","useful","adults"
"213","2","declarative","grad+subj+neg","29962","hole","nice","careless","adults"
"214","2","sarcastic","grad+subj+neg","29962","solution","nice","bossy","adults"
"215","2","declarative","–grad–subj","29962","novel","nice","fiction","adults"
"216","2","sarcastic","–grad–subj","29962","video","nice","tiktok","adults"
"217","4","declarative","grad+subj+pos","32317","cake","nice","yummy","adults"
"218","5","sarcastic","grad+subj+pos","32317","gift","nice","awesome","adults"
"219","4","declarative","grad+subj+neg","32317","bouquet","nice","messy","adults"
"220","2","sarcastic","grad+subj+neg","32317","question","nice","silly","adults"
"221","2","declarative","–grad–subj","32317","dish","nice","lobster","adults"
"222","2","sarcastic","–grad–subj","32317","shirt","nice","spotted","adults"
"223","2","declarative","grad+subj+pos","32317","story","nice","funny","adults"
"224","4","sarcastic","grad+subj+pos","32317","tool","nice","useful","adults"
"225","4","declarative","grad+subj+neg","32317","hole","nice","careless","adults"
"226","1","sarcastic","grad+subj+neg","32317","solution","nice","bossy","adults"
"227","2","declarative","–grad–subj","32317","novel","nice","fiction","adults"
"228","2","sarcastic","–grad–subj","32317","video","nice","tiktok","adults"
"229","4","declarative","grad+subj+pos","33574","cake","nice","yummy","adults"
"230","2","sarcastic","grad+subj+pos","33574","gift","nice","awesome","adults"
"231","2","declarative","grad+subj+neg","33574","bouquet","nice","messy","adults"
"232","3","sarcastic","grad+subj+neg","33574","question","nice","silly","adults"
"233","3","declarative","–grad–subj","33574","dish","nice","lobster","adults"
"234","2","sarcastic","–grad–subj","33574","shirt","nice","spotted","adults"
"235","4","declarative","grad+subj+pos","33574","story","nice","funny","adults"
"236","2","sarcastic","grad+subj+pos","33574","tool","nice","useful","adults"
"237","2","declarative","grad+subj+neg","33574","hole","nice","careless","adults"
"238","1","sarcastic","grad+subj+neg","33574","solution","nice","bossy","adults"
"239","3","declarative","–grad–subj","33574","novel","nice","fiction","adults"
"240","2","sarcastic","–grad–subj","33574","video","nice","tiktok","adults"
"241","4","declarative","grad+subj+pos","28999","cake","nice","yummy","adults"
"242","5","sarcastic","grad+subj+pos","28999","gift","nice","awesome","adults"
"243","2","declarative","grad+subj+neg","28999","bouquet","nice","messy","adults"
"244","2","sarcastic","grad+subj+neg","28999","question","nice","silly","adults"
"245","4","declarative","–grad–subj","28999","dish","nice","lobster","adults"
"246","4","sarcastic","–grad–subj","28999","shirt","nice","spotted","adults"
"247","4","declarative","grad+subj+pos","28999","story","nice","funny","adults"
